Sourcename,Date,t_int (min),T_sys 12CO (K),T_sys 13CO (K),S12CO?v (Jy km/s),S13CO?v (Jy km/s),FWZI (km/s)
NGC0034,2011-09,10.5,278,182,126.0±3.6,<5.4,763.5
Arp 256N,2011-12,21,188,138,15.1±1.3,4.6±1.3,313.1
Arp 256S,2011-12,16,197,142,45.8±1.6,<4.8,495.7
IC 1623,2011-12,21.5,200,143,469.2±1.9,10.9±1.3,699.5
MCG -03-04-014,2011-12,16,175,133,96.0±1.2,<5.4,578.3
IRAS F01364?1042,2011-09,21,171,135,37.4±1.4,<4.2,763.3
IC 0214,2011-12,16,183,177,62.8±1.7,5.9±1.1,549.5
UGC 01845,2012-10,10,204,140,208.0±2.5,11.3±1.9,670.7
NGC 0958,2012-10,15.5,285,176,144.1±4.2,12.1±2.1,854.3
ESO 550?IG025,2011-09,16,222,157,70.3±2.7,<4.2,751.6
UGC 03094,2012-10,10,197,136,130.9±2.8,12.7±1.4,858.6
NGC 1797,2012-10,15.5,219,148,126.4±2.2,7.3±1.1,541.4
IRAS F05189?2524,2014-03,128,236,173,31.0±0.5,<1.5,423.8
IRAS F05187?1017,2014-03,51,166,117,62.0±0.6,3.2±0.6,600.9
IRAS F06076?2139,2011-09,16,200,145,37.6±1.7,<3.3,539.7
NGC 2341,2014-03,25.5,235,150,105.0±2.3,6.8±1.2,568.3
NGC 2342,2012-10,15.5,169,117,111.5±1.7,7.2±1.2,568.6
IRAS 07251?0248,2014-03,21.5,136,106,18.0±1.4,<2.1,763.8
IRAS F09111?1007 W,2011-09,21.5,184,. . .(†),38.5±1.1,. . .,493.5
IRAS F09111?1007 E,2011-09,21.5,189,. . .(†),19.2±1.9,. . .,630.9
UGC 05101,2010-06,53,159,122,86.6±1.5,<2.4,973.1
2MASX J11210825?0259399,2014-03,30.5,203,134,<3.7(‡),<3.7(‡),. . .
CGCG 011?076,2012-10,10,201,179,114.3±2.6,8.3±2.6,728.8
IRAS F12224?0624,2014-03,20.5,190,126,19.9±0.9,<2.7,312.8
CGCG 043?099,2011-09,26.5,194,141,72.8±1.3,4.9±1.3,701.5
ESO 507?G070,2011-12,10.5,227,135,126.2±3.6,<4.5,882
NGC 5104,2012-10,10,186,151,131.6±2.9,9.1±2.2,879.6
IC 4280,2012-10,10,252,178,119.7±3.5,8.4±1.8,593.6
NGC 5258,2011-12,10.5,243,145,128.6±3.2,9.9±1.9,675.5
UGC 08739,2012-10,15.5,232,166,208.4±2.7,14.2±1.3,774.8
NGC 5331,2011-09,16,176,134,119.7±2.5,8.6±1.7,1155.3
CGCG 247?020,2012-10,20.5,309,231,63.4±1.9,<4.2,390.8
IRAS F14348?1447,2011-09,10.5,173,147,53.0±2.8,<6.3,788.4
CGCG 049?057,2012-10,61.5,253,179,120.1±1.1,7.2±1.1,488.8
NGC 5936,2012-10,10,176,122,155.8±1.7,11.1±1.2,308.8
IRAS F16164?0746,2011-12,10.5,240,152,104.9±3.2,<5.7,702
CGCG 052?037,2012-10,20,182,125,100.5±1.3,5.2±1.3,676.5
IRAS F16399?0937,2011-12,16,243,154,99.0±2.5,4.7±1.2,652.1
NGC 6285,2011-12,10.5,170,109,65.7±1.9,<3.9,698.9
NGC 6286,2011-12,10.5,216,116,270.4±3.0,19.6±1.4,957.3
IRAS F17138?1017,2011-12,10.5,245,141,174.7±2.8,5.3±1.1,542.6
UGC 11041,2012-10,10,196,148,161.5±2.3,11.3±1.7,542.1
CGCG 141?034,2012-10,10,171,118,53.3±2.6,5.4±1.3,699.6
IRAS 18090+0130,2011-09,16,186,137,113.1±2.0,4.8±1.3,722.5
NGC 6701,2012-10,10.5,211,155,202.3±2.1,14.0±1.3,308.8
NGC 6786,2011-09,10.5,193,134,77.2±2.2,7.8±1.1,479.9
UGC 11415,2011-09,10.5,192,134,58.8±2.2,<3.3,506.6
ESO 593?IG008,2014-03,20.5,190,147,112.5±2.5,<5.1,1172
NGC 6907,2012-10,15.5,367,245,278.4±4.4,<11.1,924.1
IRAS 21101+5810,2011-09,10.5,165,127,42.8±1.9,<3.9,648.5
ESO 602?G025,2014-03,25.5,251,162,134.4±2.0,8.2±1.3,729
UGC 12150,2012-10,15.5,247,156,77.3±2.7,<4.2,778.4
IRAS F22491?1808,2014-03,133,142,117,19.5±0.6,<1.8,520.2
CGCG 453?062,2012-10,15.5,293,177,60.4±3.0,<3.6,598.7
2MASX J23181352+0633267,2014-03,13,219,147,<7.5(‡),<7.5(‡),. . .
